age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed
80,Male,"$50,000 to $74,999",Saskatchewan,Bachelor's degree,Yes,Has a partner,English only,No
62,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
32,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes
78,Female,"$25,000 to $49,999",Alberta,Less than high school,Yes,Single,English only,Yes
63,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,English only,No
55,Female,"$125,000 and more",Nova Scotia,High school diploma,Yes,Has a partner,English only,Yes
80,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,Both English and French,No
72,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Single,English only,Yes
60,Male,"$25,000 to $49,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
41,Female,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,Yes
79,Male,"$25,000 to $49,999",Ontario,Less than high school,Yes,Has a partner,English only,No
68,Female,"$50,000 to $74,999",New Brunswick,College or certificate,Yes,Has a partner,Both English and French,Yes
75,Female,"Less than $25,000",Quebec,Less than high school,Yes,Single,French only,No
78,Male,"$25,000 to $49,999",Quebec,Above bachelor,Yes,Single,Both English and French,No
54,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,English only,Yes
61,Female,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,French only,Yes
40,Male,"$25,000 to $49,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,Yes
49,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,No
41,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
30,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
18,Male,"Less than $25,000",British Columbia,Less than high school,No,Single,English only,No
75,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Single,English only,No
45,Male,"$100,000 to $ 124,999",British Columbia,High school diploma,Yes,Single,English only,Yes
